iso_aar,iso_uke,uke_start,uke_kode,eksport_volum_tonn,eksport_pris_nok_kg,eur_nok_snitt,eur_nok_ukeslutt,usd_nok_snitt,usd_nok_ukeslutt,fao_global_atlantisk_tonn,fao_norge_tonn,fao_eks_norge_tonn
2010,1,2010-01-04,2010U01,11067,29.82,8.1993,8.1695,5.71322,5.7237,1439238.0,940180.0,499058.0
2010,2,2010-01-11,2010U02,10808,28.17,8.1615,8.143,5.633979999999999,5.6651,1439238.0,940180.0,499058.0
2010,3,2010-01-18,2010U03,10891,28.92,8.1533,8.1955,5.7438199999999995,5.798,1439238.0,940180.0,499058.0
2010,4,2010-01-25,2010U04,10967,29.69,8.2126,8.212,5.84346,5.88,1439238.0,940180.0,499058.0
2010,5,2010-02-01,2010U05,10826,31.84,8.1789,8.2195,5.8954,6.0036,1439238.0,940180.0,499058.0
2010,6,2010-02-08,2010U06,10929,34.23,8.1188,8.063,5.92922,5.9409,1439238.0,940180.0,499058.0
2010,7,2010-02-15,2010U07,10891,34.88,8.0569,8.1055,5.91854,5.9956,1439238.0,940180.0,499058.0
2010,8,2010-02-22,2010U08,9293,33.76,8.0338,8.0435,5.92392,5.9274,1439238.0,940180.0,499058.0
2010,9,2010-03-01,2010U09,10902,35.37,8.0559,8.049,5.92666,5.9262,1439238.0,940180.0,499058.0
2010,10,2010-03-08,2010U10,11640,35.87,8.0258,8.033,5.87976,5.8358,1439238.0,940180.0,499058.0
2010,11,2010-03-15,2010U11,11921,36.65,8.0024,7.973,5.8505,5.885,1439238.0,940180.0,499058.0
2010,12,2010-03-22,2010U12,13320,35.12,8.0579,8.098,6.01028,6.0646,1439238.0,940180.0,499058.0
2010,13,2010-03-29,2010U13,7751,38.46,8.045666666666667,8.029,5.978400000000001,5.9826,1439238.0,940180.0,499058.0
2010,14,2010-04-05,2010U14,9929,39.26,7.9661,7.9365,5.96535,5.9298,1439238.0,940180.0,499058.0
2010,15,2010-04-12,2010U15,11632,39.6,7.981,7.955,5.88032,5.8774,1439238.0,940180.0,499058.0
2010,16,2010-04-19,2010U16,11073,37.92,7.920399999999999,7.8765,5.915979999999999,5.9173,1439238.0,940180.0,499058.0
2010,17,2010-04-26,2010U17,10955,38.62,7.8514,7.8445,5.90984,5.8915,1439238.0,940180.0,499058.0
2010,18,2010-05-03,2010U18,11785,38.87,7.8438,7.954,6.061,6.2404,1439238.0,940180.0,499058.0
2010,19,2010-05-10,2010U19,10533,39.51,7.8055,7.726,6.141225,6.1848,1439238.0,940180.0,499058.0
2010,20,2010-05-17,2010U20,10629,41.78,7.9295,8.143,6.40385,6.516,1439238.0,940180.0,499058.0
2010,21,2010-05-24,2010U21,11535,39.65,8.013,7.9615,6.518825,6.4289,1439238.0,940180.0,499058.0
2010,22,2010-05-31,2010U22,12513,38.03,7.903999999999999,7.851,6.47808,6.51,1439238.0,940180.0,499058.0
2010,23,2010-06-07,2010U23,11780,37.16,7.914499999999999,7.835,6.586740000000001,6.4608,1439238.0,940180.0,499058.0
2010,24,2010-06-14,2010U24,12639,38.74,7.8557999999999995,7.8615,6.38496,6.3543,1439238.0,940180.0,499058.0
2010,25,2010-06-21,2010U25,12280,40.05,7.9372,7.9885,6.455760000000001,6.4979,1439238.0,940180.0,499058.0
2010,26,2010-06-28,2010U26,12245,39.09,7.985200000000001,8.063,6.47286,6.4257,1439238.0,940180.0,499058.0
2010,27,2010-07-05,2010U27,11817,40.07,8.0673,8.042,6.405379999999999,6.3639,1439238.0,940180.0,499058.0
2010,28,2010-07-12,2010U28,11275,40.73,7.975700000000001,8.053,6.264,6.1946,1439238.0,940180.0,499058.0
2010,29,2010-07-19,2010U29,10242,38.5,8.0451,7.966,6.24958,6.1766,1439238.0,940180.0,499058.0
2010,30,2010-07-26,2010U30,10625,38.49,7.978700000000001,7.9405,6.13256,6.0949,1439238.0,940180.0,499058.0
2010,31,2010-08-02,2010U31,9884,38.85,7.876399999999999,7.8775,5.9797199999999995,5.9787,1439238.0,940180.0,499058.0
2010,32,2010-08-09,2010U32,10182,39.85,7.9305,7.926,6.102639999999999,6.1927,1439238.0,940180.0,499058.0
2010,33,2010-08-16,2010U33,11048,41.31,7.9298,7.964,6.185,6.2654,1439238.0,940180.0,499058.0
2010,34,2010-08-23,2010U34,12120,39.58,7.9686,7.9785,6.29104,6.2759,1439238.0,940180.0,499058.0
2010,35,2010-08-30,2010U35,12697,37.62,7.9444,7.889,6.22326,6.147,1439238.0,940180.0,499058.0
2010,36,2010-09-06,2010U36,13132,37.07,7.8801000000000005,7.876,6.18014,6.1894,1439238.0,940180.0,499058.0
2010,37,2010-09-13,2010U37,12597,36.76,7.9094999999999995,7.965,6.1052599999999995,6.0988,1439238.0,940180.0,499058.0
2010,38,2010-09-20,2010U38,13516,37.86,7.929399999999999,7.9475,5.981260000000001,5.9257,1439238.0,940180.0,499058.0
2010,39,2010-09-27,2010U39,13536,37.2,7.971299999999999,8.04,5.8681399999999995,5.8575,1439238.0,940180.0,499058.0
2010,40,2010-10-04,2010U40,13279,36.15,8.057599999999999,8.1,5.8234,5.8383,1439238.0,940180.0,499058.0
2010,41,2010-10-11,2010U41,13935,37.84,8.1089,8.0925,5.79932,5.7438,1439238.0,940180.0,499058.0
2010,42,2010-10-18,2010U42,13539,37.31,8.1518,8.143,5.85918,5.844,1439238.0,940180.0,499058.0
2010,43,2010-10-25,2010U43,14335,36.11,8.1401,8.192,5.85984,5.9118,1439238.0,940180.0,499058.0
2010,44,2010-11-01,2010U44,13748,36.06,8.1647,8.119,5.80858,5.7647,1439238.0,940180.0,499058.0
2010,45,2010-11-08,2010U45,13988,35.76,8.092400000000001,8.133,5.86076,5.9317,1439238.0,940180.0,499058.0
2010,46,2010-11-15,2010U46,14497,36.3,8.1699,8.2,6.00392,5.9968,1439238.0,940180.0,499058.0
2010,47,2010-11-22,2010U47,15255,36.05,8.1726,8.177,6.0969999999999995,6.183,1439238.0,940180.0,499058.0
2010,48,2010-11-29,2010U48,15346,38.42,8.068900000000001,8.005,6.14476,6.0433,1439238.0,940180.0,499058.0
2010,49,2010-12-06,2010U49,17626,43.13,7.9599,7.9375,6.00294,5.9933,1439238.0,940180.0,499058.0
2010,50,2010-12-13,2010U50,17716,43.46,7.8952,7.8925,5.9311,5.9521,1439238.0,940180.0,499058.0
2010,51,2010-12-20,2010U51,10713,43.24,7.85775,7.837,5.989375,5.9989,1439238.0,940180.0,499058.0
2010,52,2010-12-27,2010U52,7752,40.37,7.8202,7.8125,5.9168199999999995,5.8564,1439238.0,940180.0,499058.0
2011,1,2011-01-03,2011U01,9309,38.43,7.7704,7.726,5.88432,5.961,1737714.0,1065576.0,672138.0
