iso_aar,iso_uke,uke_start,uke_kode,eksport_volum_tonn,eksport_pris_nok_kg,eur_nok_snitt,eur_nok_ukeslutt,usd_nok_snitt,usd_nok_ukeslutt,fao_global_atlantisk_tonn,fao_norge_tonn,fao_eks_norge_tonn,pris_lag_1,pris_lag_2,pris_lag_4,pris_lag_8,pris_lag_12,volum_lag_1,volum_lag_4,volum_lag_12,pris_ma_4,pris_ma_12,pris_endring_1u,pris_endring_4u,pris_endring_52u,eur_endring_4u,usd_endring_4u,maaned,kvartal,uke_sin,uke_cos
2010,1,2010-01-04,2010U01,11067,29.82,8.1993,8.1695,5.71322,5.7237,1439238.0,940180.0,499058.0,,,,,,,,,,,,,,,,1,1,0.12053668025532306,0.992708874098054
2010,2,2010-01-11,2010U02,10808,28.17,8.1615,8.143,5.633979999999999,5.6651,1439238.0,940180.0,499058.0,29.82,,,,,11067.0,,,,,-0.055331991951710235,,,,,1,1,0.23931566428755777,0.970941817426052
2010,3,2010-01-18,2010U03,10891,28.92,8.1533,8.1955,5.7438199999999995,5.798,1439238.0,940180.0,499058.0,28.17,29.82,,,,10808.0,,,,,0.026624068157614422,,,,,1,1,0.3546048870425356,0.9350162426854148
2010,4,2010-01-25,2010U04,10967,29.69,8.2126,8.212,5.84346,5.88,1439238.0,940180.0,499058.0,28.92,28.17,,,,10891.0,,,,,0.026625172890732962,,,,,1,1,0.46472317204376856,0.8854560256532099
2010,5,2010-02-01,2010U05,10826,31.84,8.1789,8.2195,5.8954,6.0036,1439238.0,940180.0,499058.0,29.69,28.92,29.82,,,10967.0,11067.0,,29.150000000000002,,0.07241495453014468,0.06773977196512404,,0.00612032560132203,0.04890193406363008,2,1,0.5680647467311558,0.8229838658936564
2010,6,2010-02-08,2010U06,10929,34.23,8.1188,8.063,5.92922,5.9409,1439238.0,940180.0,499058.0,31.84,29.69,28.17,,,10826.0,10808.0,,29.655,,0.07506281407035176,0.21512247071352486,,-0.009824389045806181,0.04868404794266645,2,1,0.6631226582407952,0.7485107481711011
2010,7,2010-02-15,2010U07,10891,34.88,8.0569,8.1055,5.91854,5.9956,1439238.0,940180.0,499058.0,34.23,31.84,28.92,,,10929.0,10891.0,,31.17,,0.018989190768331943,0.20608575380359606,,-0.01098163626380333,0.03408071748878916,2,1,0.7485107481711011,0.6631226582407953
2010,8,2010-02-22,2010U08,9293,33.76,8.0338,8.0435,5.92392,5.9274,1439238.0,940180.0,499058.0,34.88,34.23,29.69,,,10891.0,10967.0,,32.66,,-0.03211009174311941,0.13708319299427396,,-0.020518753044325377,0.00806122448979596,2,1,0.8229838658936565,0.5680647467311558
2010,9,2010-03-01,2010U09,10902,35.37,8.0559,8.049,5.92666,5.9262,1439238.0,940180.0,499058.0,33.76,34.88,31.84,29.82,,9293.0,10826.0,,33.677499999999995,,0.047689573459715584,0.1108668341708543,,-0.020743354218626497,-0.01289226464121529,3,1,0.8854560256532099,0.4647231720437686
2010,10,2010-03-08,2010U10,11640,35.87,8.0258,8.033,5.87976,5.8358,1439238.0,940180.0,499058.0,35.37,33.76,34.23,28.17,,10902.0,10929.0,,34.559999999999995,,0.014136273678258426,0.047911189015483524,,-0.0037206994915045533,-0.01769092225083746,3,1,0.9350162426854148,0.35460488704253557
2010,11,2010-03-15,2010U11,11921,36.65,8.0024,7.973,5.8505,5.885,1439238.0,940180.0,499058.0,35.87,35.37,34.88,28.92,,11640.0,10891.0,,34.97,,0.021745190967382255,0.05074541284403655,,-0.016346924927518325,-0.018446861031423012,3,1,0.970941817426052,0.23931566428755782
2010,12,2010-03-22,2010U12,13320,35.12,8.0579,8.098,6.01028,6.0646,1439238.0,940180.0,499058.0,36.65,35.87,33.76,29.69,,11921.0,9293.0,,35.4125,,-0.04174624829467943,0.04028436018957349,,0.006775657363088383,0.023146742247865948,3,1,0.992708874098054,0.120536680255323
2010,13,2010-03-29,2010U13,7751,38.46,8.045666666666667,8.029,5.978400000000001,5.9826,1439238.0,940180.0,499058.0,35.12,36.65,35.37,31.84,29.82,13320.0,10902.0,11067.0,35.7525,32.86,0.09510250569476097,0.08736217133163704,,-0.0024847807181015424,0.00951705983598261,3,1,1.0,6.123233995736766e-17
2010,14,2010-04-05,2010U14,9929,39.26,7.9661,7.9365,5.96535,5.9298,1439238.0,940180.0,499058.0,38.46,35.12,35.87,34.23,28.17,7751.0,11640.0,10808.0,36.525,33.58,0.020800832033281313,0.09450794535823803,,-0.012012946595294394,0.016107474553617385,4,2,0.992708874098054,-0.12053668025532288
2010,15,2010-04-12,2010U15,11632,39.6,7.981,7.955,5.88032,5.8774,1439238.0,940180.0,499058.0,39.26,38.46,36.65,34.88,28.92,9929.0,11921.0,10891.0,37.3725,34.50416666666666,0.008660213958227247,0.08049113233287875,,-0.002257619465696692,-0.0012914188615122946,4,2,0.9709418174260521,-0.2393156642875575
2010,16,2010-04-19,2010U16,11073,37.92,7.920399999999999,7.8765,5.915979999999999,5.9173,1439238.0,940180.0,499058.0,39.6,39.26,35.12,33.76,29.69,11632.0,13320.0,10967.0,38.11,35.39416666666666,-0.042424242424242364,0.07972665148063784,,-0.027352432699431994,-0.024288493882531514,4,2,0.9350162426854148,-0.3546048870425357
2010,17,2010-04-26,2010U17,10955,38.62,7.8514,7.8445,5.90984,5.8915,1439238.0,940180.0,499058.0,37.92,39.6,38.46,35.37,31.84,11073.0,7751.0,10826.0,38.81,36.08,0.01845991561181415,0.004160166406656174,,-0.022979200398555277,-0.01522749306321669,4,2,0.8854560256532099,-0.4647231720437685
