refit_hver_uke,refit_frekvens_num,horisont,n,MAE,MAPE,sek_kjoretid
4,4,4,101,8.517281056575111,0.09842059651093846,1484.9
4,4,8,97,11.281149299964925,0.13346682636789514,1484.9
4,4,12,93,13.459463513232045,0.1632493539094389,1484.9
12,12,4,101,8.459836760372072,0.09777083796385423,717.5
12,12,8,97,11.207309201805975,0.1325694490128278,717.5
12,12,12,93,13.317431401174703,0.16156306227490988,717.5
26,26,4,101,8.45136141473411,0.0976492937225355,450.0
26,26,8,97,11.163313963109864,0.13199902902876504,450.0
26,26,12,93,13.298875916788107,0.16119544282627055,450.0
inf,9999,4,101,8.26988747709427,0.0953634841938639,188.3
inf,9999,8,97,11.0739818139914,0.13068693050687508,188.3
inf,9999,12,93,13.151083527358184,0.1587143701461995,188.3
