modell,horisont,dekning,gj_bredde,nominell
SARIMA_gauss,4,0.7920792079207921,26.121562756001943,0.95
SARIMA_gauss,8,0.8041237113402062,37.38967423641079,0.95
SARIMA_gauss,12,0.8064516129032258,45.97819374923656,0.95
SARIMAX_gauss,4,0.8118811881188119,26.18870553148435,0.95
SARIMAX_gauss,8,0.8144329896907216,37.50215832121301,0.95
SARIMAX_gauss,12,0.8172043010752689,46.123157039098416,0.95
SARIMA_bootstrap,4,0.802,25.7878,0.95
SARIMA_bootstrap,8,0.7938,37.055,0.95
SARIMA_bootstrap,12,0.8065,45.2905,0.95
SARIMAX_bootstrap,4,0.7624,24.3299,0.95
SARIMAX_bootstrap,8,0.7938,34.6964,0.95
SARIMAX_bootstrap,12,0.7849,42.9451,0.95
LightGBM_quantile,4,0.4615,18.1939,0.95
LightGBM_quantile,8,0.4615,18.4018,0.95
LightGBM_quantile,12,0.3462,14.2551,0.95
